timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5309,-0.023437,-0.008667,1.005005,-0.671387,0.000000,-0.183105
5329,-0.023926,-0.008301,1.005127,-0.732422,0.000000,-0.183105
5349,-0.023071,-0.008057,1.005493,-0.732422,0.061035,-0.183105
5369,-0.025879,-0.008911,1.006104,-0.732422,0.122070,-0.122070
5389,-0.023437,-0.007202,1.005005,-0.671387,0.000000,-0.122070
5409,-0.024170,-0.008301,1.005005,-0.671387,0.061035,-0.122070
5429,-0.024414,-0.008301,1.004395,-0.732422,0.061035,-0.183105
5449,-0.024536,-0.008789,1.004395,-0.671387,0.061035,-0.183105
5469,-0.022949,-0.008057,1.004639,-0.732422,0.122070,-0.183105
5489,-0.023437,-0.008789,1.005371,-0.732422,0.061035,-0.183105
5509,-0.024536,-0.007935,1.005615,-0.671387,0.000000,-0.183105
5529,-0.022949,-0.008057,1.004517,-0.732422,0.000000,-0.244141
5549,-0.025024,-0.009399,1.004639,-0.732422,0.000000,-0.183105
5569,-0.023682,-0.008545,1.005249,-0.732422,0.000000,-0.122070
5589,-0.023926,-0.008789,1.005493,-0.732422,-0.061035,-0.122070
5609,-0.024780,-0.008057,1.004883,-0.732422,0.061035,-0.122070
5629,-0.024414,-0.008545,1.004761,-0.671387,0.000000,-0.183105
5649,-0.025024,-0.007935,1.005127,-0.732422,0.000000,-0.183105
5669,-0.024902,-0.007690,1.004028,-0.671387,0.000000,-0.183105
5689,-0.022583,-0.008789,1.005127,-0.671387,0.000000,-0.122070
5709,-0.024536,-0.009033,1.004883,-0.671387,0.061035,-0.122070
5729,-0.025879,-0.008179,1.005005,-0.732422,0.000000,-0.122070
5749,-0.023071,-0.008057,1.005127,-0.671387,0.000000,-0.122070
5769,-0.023437,-0.008301,1.005859,-0.732422,0.000000,-0.183105
5789,-0.024414,-0.010010,1.005615,-0.671387,0.000000,-0.061035
5809,-0.024292,-0.010010,1.004639,-0.671387,0.000000,-0.122070
5829,-0.024902,-0.007446,1.005981,-0.732422,0.061035,-0.183105
5849,-0.024170,-0.008301,1.006104,-0.671387,0.061035,-0.183105
5869,-0.023315,-0.008423,1.005859,-0.732422,0.061035,-0.183105
5889,-0.023437,-0.006348,1.005127,-0.732422,0.061035,-0.122070
5909,-0.024780,-0.007446,1.003906,-0.671387,0.061035,-0.122070
5929,-0.024048,-0.009277,1.005493,-0.671387,0.061035,-0.122070
5949,-0.022339,-0.008057,1.005371,-0.732422,0.061035,-0.183105
5969,-0.024902,-0.008789,1.005493,-0.732422,0.000000,-0.122070
5989,-0.024048,-0.008667,1.005371,-0.671387,0.000000,-0.244141
6009,-0.024170,-0.008789,1.004761,-0.671387,0.000000,-0.183105
6029,-0.025146,-0.009155,1.005371,-0.671387,0.061035,-0.122070
6049,-0.023560,-0.008423,1.005127,-0.671387,0.000000,-0.183105
6069,-0.023560,-0.007813,1.005371,-0.671387,0.061035,-0.244141
6089,-0.024170,-0.007935,1.005371,-0.671387,0.061035,-0.183105
6109,-0.023437,-0.008301,1.005615,-0.671387,0.061035,-0.122070
6129,-0.021362,-0.008301,1.005371,-0.732422,0.061035,-0.183105
6149,-0.024536,-0.009644,1.004883,-0.671387,0.061035,-0.183105
6169,-0.023682,-0.009888,1.006470,-0.610352,0.000000,-0.122070
6189,-0.022827,-0.008789,1.006470,-0.671387,0.000000,-0.122070
6209,-0.024658,-0.007813,1.005127,-0.671387,0.000000,-0.122070
6229,-0.023682,-0.008179,1.005615,-0.732422,0.061035,-0.122070
6249,-0.022827,-0.008789,1.004639,-0.732422,0.061035,-0.122070
6269,-0.024292,-0.008179,1.005615,-0.732422,0.000000,-0.183105
6289,-0.023560,-0.008545,1.005737,-0.732422,0.061035,-0.122070
6309,-0.023804,-0.007446,1.005493,-0.671387,0.000000,-0.244141
6329,-0.024902,-0.007446,1.005371,-0.732422,0.000000,-0.183105
6349,-0.023682,-0.009644,1.005615,-0.793457,0.000000,-0.122070
6369,-0.022827,-0.007568,1.004272,-0.732422,0.122070,-0.122070
6389,-0.024048,-0.008667,1.004517,-0.671387,0.000000,-0.122070
6409,-0.023437,-0.008545,1.005127,-0.732422,0.000000,-0.122070
6429,-0.023437,-0.007446,1.005127,-0.732422,0.061035,-0.122070
6449,-0.024048,-0.008301,1.004639,-0.732422,0.061035,-0.122070
6469,-0.023193,-0.007935,1.005859,-0.732422,0.000000,-0.183105
6489,-0.023437,-0.008789,1.005615,-0.732422,0.000000,-0.122070
6509,-0.024536,-0.008667,1.006592,-0.671387,0.061035,-0.122070
6529,-0.024414,-0.008057,1.005737,-0.610352,0.061035,-0.183105
6549,-0.022705,-0.008057,1.006104,-0.671387,0.061035,-0.122070
6569,-0.024170,-0.008667,1.005615,-0.732422,0.061035,-0.183105
6589,-0.023804,-0.009644,1.005859,-0.671387,0.061035,-0.122070
6609,-0.023437,-0.007446,1.005127,-0.671387,0.000000,-0.122070
6629,-0.023804,-0.008423,1.005371,-0.732422,0.000000,-0.122070
6649,-0.024658,-0.008301,1.005981,-0.671387,0.000000,-0.061035
6669,-0.024170,-0.007080,1.004517,-0.671387,0.000000,-0.122070
6689,-0.023804,-0.008667,1.004272,-0.671387,0.000000,-0.122070
6709,-0.023682,-0.009644,1.005737,-0.732422,0.000000,-0.122070
6729,-0.022461,-0.008789,1.005005,-0.671387,0.000000,-0.122070
6749,-0.023560,-0.008179,1.005859,-0.671387,0.000000,-0.122070
6769,-0.024292,-0.008789,1.005737,-0.732422,0.061035,-0.122070
6789,-0.024780,-0.008667,1.005981,-0.732422,0.061035,-0.061035
6809,-0.024658,-0.008789,1.004028,-0.793457,0.061035,-0.183105
6829,-0.024170,-0.009155,1.004272,-0.732422,0.061035,-0.183105
6849,-0.023437,-0.008301,1.004517,-0.671387,0.061035,-0.122070
6869,-0.024048,-0.008545,1.004639,-0.671387,0.000000,-0.061035
6889,-0.023804,-0.009277,1.005981,-0.671387,0.061035,-0.122070
6909,-0.022949,-0.007935,1.003296,-0.732422,0.000000,-0.183105
6929,-0.024658,-0.009766,1.004883,-0.732422,0.000000,-0.122070
6949,-0.024536,-0.008179,1.004395,-0.732422,0.061035,-0.183105
6969,-0.023071,-0.008423,1.003784,-0.732422,0.061035,-0.183105
6989,-0.023682,-0.008057,1.005249,-0.671387,0.122070,-0.122070
7009,-0.024902,-0.009033,1.005371,-0.671387,0.000000,-0.122070
7029,-0.023560,-0.007690,1.005493,-0.732422,0.061035,-0.183105
7049,-0.024292,-0.008301,1.004761,-0.671387,0.061035,-0.122070
7069,-0.025391,-0.009399,1.004761,-0.671387,0.000000,-0.061035
7089,-0.022949,-0.007935,1.004639,-0.671387,0.061035,-0.122070
7109,-0.023926,-0.008911,1.004272,-0.732422,0.000000,-0.122070
7129,-0.023560,-0.008667,1.004883,-0.732422,0.061035,-0.122070
7149,-0.023560,-0.007690,1.005615,-0.610352,0.061035,-0.122070
7169,-0.023315,-0.007690,1.004761,-0.671387,-0.061035,-0.061035
7189,-0.024414,-0.007690,1.004150,-0.732422,-0.061035,-0.122070
7209,-0.023560,-0.007568,1.004639,-0.671387,0.061035,-0.183105
7229,-0.023804,-0.009644,1.005005,-0.793457,0.061035,-0.122070
7249,-0.022705,-0.009399,1.005127,-0.671387,0.061035,-0.061035
7269,-0.023315,-0.007568,1.004883,-0.671387,0.061035,-0.122070
7289,-0.024292,-0.008301,1.005493,-0.671387,0.000000,-0.183105
7309,-0.024292,-0.008911,1.005859,-0.732422,0.000000,-0.183105
7329,-0.023437,-0.008545,1.005249,-0.732422,0.061035,-0.183105
7349,-0.024170,-0.009155,1.006348,-0.671387,0.061035,-0.122070
7369,-0.024536,-0.009399,1.005371,-0.732422,0.000000,-0.122070
